0,Info,5/01/2023 17:13,Service 'ymaze_inLT' : Execution start,,
53.821,Info,Arena,6,Exit_Zone,3
53.821,Info,Arena,6,Enter_Zone,4
53.953,Info,Arena,7,Exit_Zone,3
53.953,Info,Arena,7,Enter_Zone,4
54.02,Info,Arena,7,Exit_Zone,4
54.02,Info,Arena,7,Enter_Zone,2
54.086,Info,Arena,2,Exit_Zone,3
54.086,Info,Arena,2,Enter_Zone,2
54.353,Info,Arena,6,Exit_Zone,4
54.353,Info,Arena,6,Enter_Zone,1
55.709,Info,Arena,3,Exit_Zone,1
55.709,Info,Arena,3,Enter_Zone,4
55.776,Info,Arena,7,Exit_Zone,2
55.776,Info,Arena,7,Enter_Zone,4
55.878,Info,Arena,3,Exit_Zone,4
55.878,Info,Arena,3,Enter_Zone,2
55.878,Info,Arena,7,Exit_Zone,4
55.878,Info,Arena,7,Enter_Zone,1
57.761,Info,Arena,3,Exit_Zone,2
57.761,Info,Arena,3,Enter_Zone,4
57.761,Info,Arena,6,Exit_Zone,1
57.761,Info,Arena,6,Enter_Zone,4
57.795,Info,Arena,5,Exit_Zone,3
57.795,Info,Arena,5,Enter_Zone,4
57.828,Info,Arena,7,Exit_Zone,1
57.828,Info,Arena,7,Enter_Zone,4
58.027,Info,Arena,3,Exit_Zone,4
58.027,Info,Arena,3,Enter_Zone,3
58.027,Info,Arena,6,Exit_Zone,4
58.027,Info,Arena,6,Enter_Zone,2
58.264,Info,Arena,5,Exit_Zone,4
58.264,Info,Arena,5,Enter_Zone,2
58.559,Info,Arena,7,Exit_Zone,4
58.559,Info,Arena,7,Enter_Zone,1
60.668,Info,Arena,6,Exit_Zone,2
60.668,Info,Arena,6,Enter_Zone,4
60.803,Info,Arena,6,Exit_Zone,4
60.803,Info,Arena,6,Enter_Zone,3
60.87,Info,Arena,7,Exit_Zone,1
60.87,Info,Arena,7,Enter_Zone,4
60.967,Info,Arena,7,Exit_Zone,4
60.967,Info,Arena,7,Enter_Zone,3
61.065,Info,Arena,5,Exit_Zone,2
61.065,Info,Arena,5,Enter_Zone,4
61.452,Info,Arena,5,Exit_Zone,4
61.452,Info,Arena,5,Enter_Zone,3
62.318,Info,Arena,7,Exit_Zone,3
62.318,Info,Arena,7,Enter_Zone,4
62.452,Info,Arena,7,Exit_Zone,4
62.452,Info,Arena,7,Enter_Zone,3
63.885,Info,Arena,3,Exit_Zone,3
63.885,Info,Arena,3,Enter_Zone,4
63.985,Info,Arena,7,Exit_Zone,3
63.985,Info,Arena,7,Enter_Zone,4
64.052,Info,Arena,3,Exit_Zone,4
64.052,Info,Arena,3,Enter_Zone,1
64.052,Info,Arena,7,Exit_Zone,4
64.052,Info,Arena,7,Enter_Zone,2
66.819,Info,Arena,7,Exit_Zone,2
66.819,Info,Arena,7,Enter_Zone,4
66.918,Info,Arena,2,Exit_Zone,2
66.918,Info,Arena,2,Enter_Zone,4
66.918,Info,Arena,7,Exit_Zone,4
66.918,Info,Arena,7,Enter_Zone,1
66.953,Info,Arena,2,Exit_Zone,4
66.953,Info,Arena,2,Enter_Zone,3
67.185,Info,Arena,6,Exit_Zone,3
67.185,Info,Arena,6,Enter_Zone,4
67.451,Info,Arena,6,Exit_Zone,4
67.451,Info,Arena,6,Enter_Zone,1
67.752,Info,Arena,5,Exit_Zone,3
67.752,Info,Arena,5,Enter_Zone,4
68.085,Info,Arena,5,Exit_Zone,4
68.085,Info,Arena,5,Enter_Zone,2
68.285,Info,Arena,7,Exit_Zone,1
68.285,Info,Arena,7,Enter_Zone,4
68.624,Info,Arena,7,Exit_Zone,4
68.624,Info,Arena,7,Enter_Zone,3
70.49,Info,Arena,7,Exit_Zone,3
70.49,Info,Arena,7,Enter_Zone,4
70.632,Info,Arena,7,Exit_Zone,4
70.632,Info,Arena,7,Enter_Zone,2
70.902,Info,Arena,6,Exit_Zone,1
70.902,Info,Arena,6,Enter_Zone,4
71.118,Info,Arena,6,Exit_Zone,4
71.118,Info,Arena,6,Enter_Zone,2
71.351,Info,Arena,1,Exit_Zone,2
71.351,Info,Arena,1,Enter_Zone,3
71.918,Info,Arena,5,Exit_Zone,2
71.918,Info,Arena,5,Enter_Zone,4
72.184,Info,Arena,5,Exit_Zone,4
72.184,Info,Arena,5,Enter_Zone,1
72.218,Info,Arena,1,Exit_Zone,3
72.218,Info,Arena,1,Enter_Zone,4
72.252,Info,Arena,1,Exit_Zone,4
72.252,Info,Arena,1,Enter_Zone,1
72.551,Info,Arena,7,Exit_Zone,2
72.551,Info,Arena,7,Enter_Zone,4
72.717,Info,Arena,7,Exit_Zone,4
72.717,Info,Arena,7,Enter_Zone,1
73.951,Info,Arena,6,Exit_Zone,2
73.951,Info,Arena,6,Enter_Zone,4
74.054,Info,Arena,6,Exit_Zone,4
74.054,Info,Arena,6,Enter_Zone,3
75.084,Info,Arena,2,Exit_Zone,3
75.084,Info,Arena,2,Enter_Zone,4
75.151,Info,Arena,2,Exit_Zone,4
75.151,Info,Arena,2,Enter_Zone,1
76.117,Info,Arena,7,Exit_Zone,1
76.117,Info,Arena,7,Enter_Zone,4
76.553,Info,Arena,7,Exit_Zone,4
76.553,Info,Arena,7,Enter_Zone,3
78.688,Info,Arena,5,Exit_Zone,1
78.688,Info,Arena,5,Enter_Zone,4
79.084,Info,Arena,5,Exit_Zone,4
79.084,Info,Arena,5,Enter_Zone,2
80.121,Info,Arena,6,Exit_Zone,3
80.121,Info,Arena,6,Enter_Zone,4
80.252,Info,Arena,7,Exit_Zone,3
80.252,Info,Arena,7,Enter_Zone,4
80.628,Info,Arena,7,Exit_Zone,4
80.628,Info,Arena,7,Enter_Zone,1
80.983,Info,Arena,6,Exit_Zone,4
80.983,Info,Arena,6,Enter_Zone,1
82.417,Info,Arena,7,Exit_Zone,1
82.417,Info,Arena,7,Enter_Zone,4
82.683,Info,Arena,7,Exit_Zone,4
82.683,Info,Arena,7,Enter_Zone,3
83.622,Info,Arena,6,Exit_Zone,1
83.622,Info,Arena,6,Enter_Zone,4
83.983,Info,Arena,6,Exit_Zone,4
83.983,Info,Arena,6,Enter_Zone,2
85.116,Info,Arena,7,Exit_Zone,3
85.116,Info,Arena,7,Enter_Zone,4
85.418,Info,Arena,7,Exit_Zone,4
85.418,Info,Arena,7,Enter_Zone,2
86.593,Info,Arena,6,Exit_Zone,2
86.593,Info,Arena,6,Enter_Zone,4
86.623,Info,Arena,6,Exit_Zone,4
86.623,Info,Arena,6,Enter_Zone,2
86.654,Info,Arena,6,Exit_Zone,2
86.654,Info,Arena,6,Enter_Zone,4
86.95,Info,Arena,6,Exit_Zone,4
86.95,Info,Arena,6,Enter_Zone,3
89.66,Info,Arena,7,Exit_Zone,2
89.66,Info,Arena,7,Enter_Zone,4
89.764,Info,Arena,5,Exit_Zone,2
89.764,Info,Arena,5,Enter_Zone,4
89.8,Info,Arena,6,Exit_Zone,3
89.8,Info,Arena,6,Enter_Zone,4
90.041,Info,Arena,7,Exit_Zone,4
90.041,Info,Arena,7,Enter_Zone,1
90.174,Info,Arena,5,Exit_Zone,4
90.174,Info,Arena,5,Enter_Zone,1
90.174,Info,Arena,6,Exit_Zone,4
90.174,Info,Arena,6,Enter_Zone,1
91.049,Info,Arena,2,Exit_Zone,1
91.049,Info,Arena,2,Enter_Zone,3
91.788,Info,Arena,7,Exit_Zone,1
91.788,Info,Arena,7,Enter_Zone,4
92.269,Info,Arena,7,Exit_Zone,4
92.269,Info,Arena,7,Enter_Zone,3
93.187,Info,Arena,6,Exit_Zone,1
93.187,Info,Arena,6,Enter_Zone,4
93.516,Info,Arena,6,Exit_Zone,4
93.516,Info,Arena,6,Enter_Zone,2
95.655,Info,Arena,5,Exit_Zone,1
95.655,Info,Arena,5,Enter_Zone,4
95.655,Info,Arena,7,Exit_Zone,3
95.655,Info,Arena,7,Enter_Zone,4
95.816,Info,Arena,7,Exit_Zone,4
95.816,Info,Arena,7,Enter_Zone,2
95.983,Info,Arena,5,Exit_Zone,4
95.983,Info,Arena,5,Enter_Zone,3
96.282,Info,Arena,6,Exit_Zone,2
96.282,Info,Arena,6,Enter_Zone,4
96.452,Info,Arena,6,Exit_Zone,4
96.452,Info,Arena,6,Enter_Zone,1
96.883,Info,Arena,1,Exit_Zone,1
96.883,Info,Arena,1,Enter_Zone,4
96.915,Info,Arena,1,Exit_Zone,4
96.915,Info,Arena,1,Enter_Zone,2
98.621,Info,Arena,5,Exit_Zone,3
98.621,Info,Arena,5,Enter_Zone,4
99.049,Info,Arena,5,Exit_Zone,4
99.049,Info,Arena,5,Enter_Zone,1
99.349,Info,Arena,1,Exit_Zone,2
99.349,Info,Arena,1,Enter_Zone,1
100.782,Info,Arena,7,Exit_Zone,2
100.782,Info,Arena,7,Enter_Zone,4
100.982,Info,Arena,7,Exit_Zone,4
100.982,Info,Arena,7,Enter_Zone,3
102.582,Info,Arena,6,Exit_Zone,1
102.582,Info,Arena,6,Enter_Zone,4
102.915,Info,Arena,6,Exit_Zone,4
102.915,Info,Arena,6,Enter_Zone,2
103.657,Info,Arena,3,Exit_Zone,1
103.657,Info,Arena,3,Enter_Zone,4
103.815,Info,Arena,3,Exit_Zone,4
103.815,Info,Arena,3,Enter_Zone,3
105.248,Info,Arena,7,Exit_Zone,3
105.248,Info,Arena,7,Enter_Zone,4
105.381,Info,Arena,7,Exit_Zone,4
105.381,Info,Arena,7,Enter_Zone,1
105.515,Info,Arena,5,Exit_Zone,1
105.515,Info,Arena,5,Enter_Zone,4
106.015,Info,Arena,5,Exit_Zone,4
106.015,Info,Arena,5,Enter_Zone,3
106.249,Info,Arena,3,Exit_Zone,3
106.249,Info,Arena,3,Enter_Zone,4
106.349,Info,Arena,3,Exit_Zone,4
106.349,Info,Arena,3,Enter_Zone,1
107.482,Info,Arena,6,Exit_Zone,2
107.482,Info,Arena,6,Enter_Zone,4
107.549,Info,Arena,3,Exit_Zone,1
107.549,Info,Arena,3,Enter_Zone,4
107.694,Info,Arena,3,Exit_Zone,4
107.694,Info,Arena,3,Enter_Zone,2
107.961,Info,Arena,6,Exit_Zone,4
107.961,Info,Arena,6,Enter_Zone,3
108.415,Info,Arena,7,Exit_Zone,1
108.415,Info,Arena,7,Enter_Zone,2
108.581,Info,Arena,7,Exit_Zone,2
108.581,Info,Arena,7,Enter_Zone,4
108.692,Info,Arena,5,Exit_Zone,3
108.692,Info,Arena,5,Enter_Zone,4
108.887,Info,Arena,7,Exit_Zone,4
108.887,Info,Arena,7,Enter_Zone,1
109.048,Info,Arena,5,Exit_Zone,4
109.048,Info,Arena,5,Enter_Zone,1
109.248,Info,Arena,3,Exit_Zone,2
109.248,Info,Arena,3,Enter_Zone,4
109.448,Info,Arena,3,Exit_Zone,4
109.448,Info,Arena,3,Enter_Zone,3
109.914,Info,Arena,6,Exit_Zone,3
109.914,Info,Arena,6,Enter_Zone,4
110.181,Info,Arena,3,Exit_Zone,3
110.181,Info,Arena,3,Enter_Zone,4
110.282,Info,Arena,6,Exit_Zone,4
110.282,Info,Arena,6,Enter_Zone,1
110.448,Info,Arena,3,Exit_Zone,4
110.448,Info,Arena,3,Enter_Zone,2
110.915,Info,Arena,7,Exit_Zone,1
110.915,Info,Arena,7,Enter_Zone,4
110.981,Info,Arena,3,Exit_Zone,2
110.981,Info,Arena,3,Enter_Zone,4
111.05,Info,Arena,7,Exit_Zone,4
111.05,Info,Arena,7,Enter_Zone,3
111.215,Info,Arena,3,Exit_Zone,4
111.215,Info,Arena,3,Enter_Zone,3
111.622,Info,Arena,5,Exit_Zone,1
111.622,Info,Arena,5,Enter_Zone,4
111.981,Info,Arena,5,Exit_Zone,4
111.981,Info,Arena,5,Enter_Zone,3
113.847,Info,Arena,7,Exit_Zone,3
113.847,Info,Arena,7,Enter_Zone,4
113.881,Info,Arena,7,Exit_Zone,4
113.881,Info,Arena,7,Enter_Zone,2
115.148,Info,Arena,2,Exit_Zone,3
115.148,Info,Arena,2,Enter_Zone,1
115.914,Info,Arena,2,Exit_Zone,1
115.914,Info,Arena,2,Enter_Zone,4
115.948,Info,Arena,2,Exit_Zone,4
115.948,Info,Arena,2,Enter_Zone,2
116.114,Info,Arena,2,Exit_Zone,2
116.114,Info,Arena,2,Enter_Zone,4
116.247,Info,Arena,2,Exit_Zone,4
116.247,Info,Arena,2,Enter_Zone,3
116.622,Info,Arena,5,Exit_Zone,3
116.622,Info,Arena,5,Enter_Zone,4
117.349,Info,Arena,5,Exit_Zone,4
117.349,Info,Arena,5,Enter_Zone,2
117.416,Info,Arena,6,Exit_Zone,1
117.416,Info,Arena,6,Enter_Zone,4
117.55,Info,Arena,7,Exit_Zone,2
117.55,Info,Arena,7,Enter_Zone,4
117.699,Info,Arena,7,Exit_Zone,4
117.699,Info,Arena,7,Enter_Zone,1
117.769,Info,Arena,6,Exit_Zone,4
117.769,Info,Arena,6,Enter_Zone,3
119.113,Info,Arena,3,Exit_Zone,3
119.113,Info,Arena,3,Enter_Zone,4
119.481,Info,Arena,3,Exit_Zone,4
119.481,Info,Arena,3,Enter_Zone,2
119.98,Info,Arena,7,Exit_Zone,1
119.98,Info,Arena,7,Enter_Zone,4
120.147,Info,Arena,7,Exit_Zone,4
120.147,Info,Arena,7,Enter_Zone,3
120.65,Info,Arena,5,Exit_Zone,2
120.65,Info,Arena,5,Enter_Zone,4
121.214,Info,Arena,5,Exit_Zone,4
121.214,Info,Arena,5,Enter_Zone,1
121.88,Info,Arena,7,Exit_Zone,3
121.88,Info,Arena,7,Enter_Zone,4
121.947,Info,Arena,2,Exit_Zone,3
121.947,Info,Arena,2,Enter_Zone,4
121.98,Info,Arena,2,Exit_Zone,4
121.98,Info,Arena,2,Enter_Zone,2
122.313,Info,Arena,7,Exit_Zone,4
122.313,Info,Arena,7,Enter_Zone,2
122.414,Info,Arena,3,Exit_Zone,2
122.414,Info,Arena,3,Enter_Zone,4
122.716,Info,Arena,3,Exit_Zone,4
122.716,Info,Arena,3,Enter_Zone,1
124.081,Info,Arena,5,Exit_Zone,1
124.081,Info,Arena,5,Enter_Zone,4
124.515,Info,Arena,5,Exit_Zone,4
124.515,Info,Arena,5,Enter_Zone,3
124.547,Info,Arena,3,Exit_Zone,1
124.547,Info,Arena,3,Enter_Zone,4
124.686,Info,Arena,3,Exit_Zone,4
124.686,Info,Arena,3,Enter_Zone,3
124.98,Info,Arena,7,Exit_Zone,2
124.98,Info,Arena,7,Enter_Zone,4
125.313,Info,Arena,7,Exit_Zone,4
125.313,Info,Arena,7,Enter_Zone,1
126.08,Info,Arena,6,Exit_Zone,3
126.08,Info,Arena,6,Enter_Zone,4
126.313,Info,Arena,6,Exit_Zone,4
126.313,Info,Arena,6,Enter_Zone,2
126.814,Info,Arena,6,Exit_Zone,2
126.814,Info,Arena,6,Enter_Zone,4
126.814,Info,Arena,7,Exit_Zone,1
126.814,Info,Arena,7,Enter_Zone,4
126.85,Info,Arena,6,Exit_Zone,4
126.85,Info,Arena,6,Enter_Zone,3
126.881,Info,Arena,7,Exit_Zone,4
126.881,Info,Arena,7,Enter_Zone,3
128.446,Info,Arena,7,Exit_Zone,3
128.446,Info,Arena,7,Enter_Zone,4
128.514,Info,Arena,7,Exit_Zone,4
128.514,Info,Arena,7,Enter_Zone,1
129.113,Info,Arena,6,Exit_Zone,3
129.113,Info,Arena,6,Enter_Zone,4
129.513,Info,Arena,6,Exit_Zone,4
129.513,Info,Arena,6,Enter_Zone,2
130.48,Info,Arena,7,Exit_Zone,1
130.48,Info,Arena,7,Enter_Zone,4
130.714,Info,Arena,7,Exit_Zone,4
130.714,Info,Arena,7,Enter_Zone,3
131.28,Info,Arena,3,Exit_Zone,3
131.28,Info,Arena,3,Enter_Zone,4
131.446,Info,Arena,2,Exit_Zone,2
131.446,Info,Arena,2,Enter_Zone,4
131.546,Info,Arena,2,Exit_Zone,4
131.546,Info,Arena,2,Enter_Zone,1
131.619,Info,Arena,3,Exit_Zone,4
131.619,Info,Arena,3,Enter_Zone,1
132.513,Info,Arena,5,Exit_Zone,3
132.513,Info,Arena,5,Enter_Zone,4
132.681,Info,Arena,2,Exit_Zone,1
132.681,Info,Arena,2,Enter_Zone,2
132.681,Info,Arena,7,Exit_Zone,3
132.681,Info,Arena,7,Enter_Zone,4
132.946,Info,Arena,7,Exit_Zone,4
132.946,Info,Arena,7,Enter_Zone,2
133.046,Info,Arena,5,Exit_Zone,4
133.046,Info,Arena,5,Enter_Zone,1
135.314,Info,Arena,7,Exit_Zone,2
135.314,Info,Arena,7,Enter_Zone,4
135.484,Info,Arena,7,Exit_Zone,4
135.484,Info,Arena,7,Enter_Zone,1
135.551,Info,Arena,5,Exit_Zone,1
135.551,Info,Arena,5,Enter_Zone,4
136.395,Info,Arena,5,Exit_Zone,4
136.395,Info,Arena,5,Enter_Zone,3
136.574,Info,Arena,3,Exit_Zone,1
136.574,Info,Arena,3,Enter_Zone,4
136.654,Info,Arena,6,Exit_Zone,2
136.654,Info,Arena,6,Enter_Zone,4
136.691,Info,Arena,6,Exit_Zone,4
136.691,Info,Arena,6,Enter_Zone,2
136.727,Info,Arena,3,Exit_Zone,4
136.727,Info,Arena,3,Enter_Zone,2
136.798,Info,Arena,6,Exit_Zone,2
136.798,Info,Arena,6,Enter_Zone,4
136.933,Info,Arena,6,Exit_Zone,4
136.933,Info,Arena,6,Enter_Zone,3
137.001,Info,Arena,6,Exit_Zone,3
137.001,Info,Arena,6,Enter_Zone,4
137.068,Info,Arena,6,Exit_Zone,4
137.068,Info,Arena,6,Enter_Zone,3
137.804,Info,Arena,7,Exit_Zone,1
137.804,Info,Arena,7,Enter_Zone,4
137.91,Info,Arena,4,Exit_Zone,2
137.91,Info,Arena,4,Enter_Zone,4
138.018,Info,Arena,4,Exit_Zone,4
138.018,Info,Arena,4,Enter_Zone,3
138.018,Info,Arena,7,Exit_Zone,4
