"","Chisq","Df","Pr(>Chisq)"
"genotype",53.479851,2,2.4377995e-12
"bin",79.145966,5,1.266162e-15
"tank",2.9455169,3,0.4001019
"sex",0.46200579,1,0.49668805
"genotype:bin",0.45961884,10,0.99999559
