"","Chisq","Df","Pr(>Chisq)"
"bin",14.8,5,0.0111
"genotype",5.42,2,0.0666
"tank",4.79,3,0.188
"sex",0.329,1,0.566
"L_R_bias",23.7,2,6.98e-06
"bin:genotype",17.1,10,0.0725
