"","Chisq","Df","Pr(>Chisq)"
"bin",5.13,5,0.4
"genotype",3.83,2,0.147
"tank",0.232,3,0.972
"sex",0.153,1,0.695
"L_R_bias",71.8,2,2.58e-16
"bin:genotype",11.7,10,0.305
