"","Chisq","Df","Pr(>Chisq)"
"genotype",1.2210876786782,2,0.543055453833459
"bin",128.212519026493,5,5.69956070087266e-26
"tank",2.28473541621873,3,0.515451501843742
"sex",0.876346760228152,1,0.349204228428768
"genotype:bin",9.70774538788398,10,0.466497076392303
